date,javascript,sql,java,c#,php,python,c++,c,nodejs,ruby,objective-c
2/7/16,49037,0,14224,7990,8729,62142,29424,41613,0,33075,23927
2/25/16,113227,5,42963,27556,23819,182242,98307,136741,0,86311,81168
4/12/16,66809,0,27415,20454,16610,103359,61230,78059,0,49287,48580
6/6/16,47929,0,21914,12129,14848,72630,34483,52226,0,36607,28047
4/18/16,56094,0,21425,13795,17634,84839,40116,60135,0,38960,32140
6/25/16,20351,0,8370,3809,5413,47313,21585,40509,0,24294,17826
3/29/16,69314,0,29160,21686,18542,87116,50350,64346,0,43813,36134
12/19/16,53283,0,21462,9513,11376,72735,33589,49833,0,41549,25710
10/2/16,15298,0,4334,2863,3239,17335,8014,11071,0,8498,6008
2/26/16,112198,0,46366,26555,25656,187649,96768,140334,0,85060,79716
6/22/16,60834,0,27485,17219,18194,111464,52937,85997,0,54962,44066
4/27/16,66631,0,23707,18308,19368,96081,46529,67039,0,41236,36979
4/10/16,21429,0,8101,3086,4049,28444,18692,19661,0,11965,15421
11/17/16,87838,0,32655,18146,19193,111334,59180,79388,0,67170,46224
12/31/16,23432,0,9068,3650,4736,23822,12370,13836,0,11379,7252
2/23/16,150168,0,52464,27958,25123,184016,70042,118538,0,113402,58403
7/26/16,49160,0,24682,14278,12020,104313,75752,88227,0,38393,66394
1/5/16,103680,0,38648,20336,19496,126808,55682,86701,0,66062,41039
12/12/16,64132,0,23595,10448,14284,86561,40141,64838,0,55943,32738
12/6/16,71924,0,33124,17488,15903,111550,51279,77873,0,56524,40117
9/23/16,59237,0,26855,16788,18487,97637,44864,72399,0,53350,35013
